Assembly accession	Name	NCBI taxonomy	GTDB taxonomy (r214)	External link 1	External link 2	Biosample accession	Bioproject accession	WGS accession	Sequencing platform	Submission date	Submitter	Title	PMID	DOI	Publish_date	Author	Geographic location	Environment	Geographic coordinates	point	Latitude	longitude	Completeness	Contamination	quality	# contigs	Largest contig	Total length	GC (%)	N50	N50	Assembly level
GCA_000009985.1	Magnetospirillum_magneticum_AMB-1			"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_000009985.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_000009985.1"">GTDB</a>"	SAMD00061077	PRJNA16217	-	-	2005-12-01 00:00:00	Tokyo University of Agriculture and Technology, Japan	Complete genome sequence of the facultative anaerobic magnetotactic bacterium Magnetospirillum sp. strain AMB-1	16303747.0	10.1093/dnares/dsi002	2005	T Matsunaga, et al.	Koganei, Tokyo	freshwater	35.6995° N, 139.5031° E	(35.699451, 139.503121, 0.0)	35.699451	139.503121	99.0	0.0	High	1	4967148	4967148	65.09	4967148	4967148	Complete Genome
GCA_000010665.1	Solidesulfovibrio_magneticus_RS-1			"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_000010665.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_000010665.1"">GTDB</a>"	SAMD00060954	PRJDA32105	-	-	2009-06-11 00:00:00	National Institute of Technology and Evaluation	Whole genome sequence of Desulfovibrio magneticus strain RS-1 revealed common gene clusters in magnetotactic bacteria	19675025.0	10.1101/gr.088906.108	2009	H Nakazawa, et al.	Kameno river, Japan	freshwater	34.17541401525918, 135.23662449224588	(34.1745523, 135.2370569, 0.0)	34.1745523	135.2370569	100.0	0.0	High	3	5248049	5315620	62.67	5248049	5248049	Complete Genome
GCA_000014865.1	Magnetococcus_marinus_MC-1			"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_000014865.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_000014865.1"">GTDB</a>"	SAMN02598452	PRJNA262	-	-	2006-11-08 00:00:00	US DOE Joint Genome Institute	Magnetococcus marinus gen. nov., sp. nov., a marine, magnetotactic bacterium that represents a novel lineage (Magnetococcaceae fam. nov., Magnetococcales ord. nov.) at the base of the Alphaproteobacteria	22581902.0	10.1099/ijs.0.038927-0	2012	DA Bazylinski, et al.	Pettaquamscutt Estuary, Rhode Island, USA	marine	41.51929743017229, -71.44550780635767	(41.519276, -71.445556, 0.0)	41.519276	-71.445556	98.32	0.84	High	1	4719581	4719581	54.17	4719581	4719581	Complete Genome
GCA_000342045.1	Magnetospirillum_caucaseum_SO-1			"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_000342045.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_000342045.1"">GTDB</a>"	SAMN02469417	PRJNA187412	AONQ00000000	454 GS-FLX Titanium	2013-02-26 00:00:00	Centre Bioengineering RAS	Draft Genome Sequence of Magnetospirillum sp. Strain SO-1, a Freshwater Magnetotactic Bacterium Isolated from the Ol'khovka River, Russia	24723706.0	10.1128/genomeA.00235-14	2014	DS Grouzdev, et al.	Russia:Krasnodar krai	freshwater	45.210787664961686, 38.965322675404764	(45.22524505, 38.98107362487327, 0.0)	45.22524505	38.9810736248733	99.5	0.5	High	203	188848	4859560	65.99	55386	55386	Contig
GCA_000478645.1	Latescibacteria_bacterium_SCGC_AAA252-B13			"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_000478645.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_000478645.1"">GTDB</a>"	SAMN02440557	PRJNA192325	ASWY00000000	Illumina HiSeq 2000	2013-05-29 00:00:00	DOE Joint Genome Institute	A putative greigite-type magnetosome gene cluster from the candidate phylum Latescibacteria	25382584.0	10.1111/1758-2229.12234	2015	W Lin, et al.	USA: Sakinaw Lake	brackish	49.68328600351747, -124.00951421692403	(49.95898915, -123.82793322359828, 0.0)	49.95898915	-123.827933223598	43.99	0.0	Low	138	85304	1759976	40.86	23078	23078	Contig
GCA_000513295.1	Magnetospirillum_gryphiswaldense_MSR-1_v2			"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_000513295.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_000513295.1"">GTDB</a>"	SAMEA3138838	PRJEB4690	-	-	2013-12-16 00:00:00	CHINA-AGRICULTURAL-UNIVERSITY	Complete Genome Sequence of Magnetospirillum gryphiswaldense MSR-1	24625872.0	10.1128/genomeA.00171-14	2014	X Wang, et al.	Germany: Ryck River	freshwater	54.10462072225356, 13.388150939474196	(54.1033529, 13.3892363, 0.0)	54.1033529	13.3892363	99.88	0.0	High	1	4365796	4365796	63.28	4365796	4365796	Complete Genome
GCA_000516475.1	Candidatus_Magnetoglobus_multicellularis_str._Araruama			"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_000516475.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_000516475.1"">GTDB</a>"	SAMN02597425	PRJNA52963	ATBP00000000	454	2014-01-07 00:00:00	LNCC	Deciphering unusual uncultured magnetotactic multicellular prokaryotes through genomics	24196322.0	10.1038/ismej.2013.203	2014	Fernanda Abreu	Brazil: Araruama Lagoon	hypersaline	22°50' S, 42°13' W	(-22.8324228, -42.2170932, 0.0)	-22.8324228	-42.2170932	98.21	19.24	Low	3705	57549	12453848	37.27	6143	6143	Contig
GCA_000714715.1	Candidatus_Magnetobacterium_casensis_MYR-1			"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_000714715.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_000714715.1"">GTDB</a>"	SAMN02726339	PRJNA236065	JMFO00000000	454	2014-06-27 00:00:00	Institute of Geology and Geophysics, Chinese Academy of Sciences	Genomic insights into the uncultured genus 'Candidatus Magnetobacterium' in the phylum Nitrospirae	24914800.0	10.1038/ismej.2014.94	2014	W Lin, et al.	China: Lake Miyun, Beijing	freshwater	40.502749634491785, 116.94416683181186	(40.5080959, 116.9324543, 0.0)	40.5080959	116.9324543	92.42	0.91	High	70	252526	3415676	48.87	90253	90253	Contig
GCA_000829825.1	Magnetospirillum_magnetotacticum_MS-1			"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_000829825.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_000829825.1"">GTDB</a>"	SAMN03287305	PRJNA272834	JXSL00000000	Illumina HiSeq	2015-01-28 00:00:00	California Institute of Technology	Genome Sequence of Magnetospirillum magnetotacticum Strain MS-1	25838488.0	10.1128/genomeA.00233-15	2015	MD Smalley, et al.	USA: Cedar Swamp, Massachusetts	freshwater	42.05915907358352, -72.29981005552166	(42.0601808, -72.29990530089313, 0.0)	42.0601808	-72.2999053008931	99.5	0.0	High	33	1344907	4523005	63.56	541957	541957	Contig
GCA_000954095.1	Candidatus_Omnitrophus_magneticus_SKK-01	d__Bacteria;<br>p__Candidatus Omnitrophica;<br>c__;<br>o__;<br>f__;<br>g__Candidatus Omnitrophus;<br>s__Candidatus Omnitrophus magneticus	d__Bacteria;<br>p__Omnitrophota;<br>c__Koll11;<br>o__SKK-01;<br>f__SKK-01;<br>g__Omnitrophus_A;<br>s__Omnitrophus_A magneticus	"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_000954095.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_000954095.1"">GTDB</a>"	SAMN03316882	PRJNA273957	JYNY00000000	Illumina MiSeq	2015-03-16 00:00:00	Max Planck Institute for Marine Microbiology	Single-cell genomics of uncultivated deep-branching magnetotactic bacteria reveals a conserved set of magnetosome genes	26060021.0	10.1111/1462-2920.12907	2015	Sebastian Kolinko	Germany: Lake Chiemsee, Bavaria	freshwater	47.869440 N 12.398015 E	(47.8690367, 12.397835, 0.0)	47.8690367	12.397835	95.1	46.77	Low	511	133939	3065551	35.7	15704	15145	Contig
